,No,Degree,Collective Influence,Betweenness,Closeness,Capo,Vicario + Contabile
91,91,1.4583333333333333,1.4583333333333333,2.5416666666666665,1.4583333333333333,1.5416666666666667,1.4583333333333333
92,92,1.4042553191489362,1.4042553191489362,2.5531914893617023,1.4042553191489362,1.4893617021276595,1.4042553191489362
93,93,1.3478260869565217,1.3478260869565217,2.4782608695652173,1.3478260869565217,1.434782608695652,1.3478260869565217
94,94,1.288888888888889,1.288888888888889,2.533333333333333,1.288888888888889,1.3777777777777778,1.288888888888889
95,95,1.2272727272727273,1.2272727272727273,2.409090909090909,1.2272727272727273,1.3181818181818181,1.2272727272727273
96,96,1.1627906976744187,1.1627906976744187,2.372093023255814,1.1627906976744187,1.255813953488372,1.1627906976744187
97,97,1.0952380952380953,1.0952380952380953,2.4285714285714284,1.0952380952380953,1.1904761904761905,1.0952380952380953
98,98,1.024390243902439,1.024390243902439,2.341463414634146,1.024390243902439,1.1219512195121952,1.024390243902439
99,99,0.95,0.95,2.1,0.95,1.05,0.95
100,100,0.8717948717948718,0.9230769230769231,1.8974358974358974,0.8717948717948718,0.9743589743589743,0.8717948717948718
101,101,0.8421052631578947,0.9473684210526315,1.8421052631578947,0.8421052631578947,0.8947368421052632,0.8421052631578947
102,102,0.8108108108108109,0.918918918918919,1.6756756756756757,0.8108108108108109,0.8648648648648649,0.8108108108108109
103,103,0.7777777777777778,0.8888888888888888,1.5555555555555556,0.7777777777777778,0.8333333333333334,0.7777777777777778
104,104,0.7428571428571429,0.8571428571428571,1.4285714285714286,0.7428571428571429,0.8,0.7428571428571429
105,105,0.7058823529411765,0.7647058823529411,1.3529411764705883,0.7058823529411765,0.7647058823529411,0.7058823529411765
106,106,0.6666666666666666,0.7272727272727273,1.3333333333333333,0.6666666666666666,0.7272727272727273,0.6666666666666666
107,107,0.625,0.6875,1.375,0.625,0.6875,0.625
108,108,0.5806451612903226,0.7096774193548387,1.1612903225806452,0.5806451612903226,0.6451612903225806,0.5806451612903226
109,109,0.5333333333333333,0.6666666666666666,1.0,0.5333333333333333,0.6,0.5333333333333333
110,110,0.4827586206896552,0.6206896551724138,1.0344827586206897,0.4827586206896552,0.5517241379310345,0.4827586206896552
111,111,0.42857142857142855,0.6428571428571429,1.0714285714285714,0.42857142857142855,0.5,0.42857142857142855
112,112,0.37037037037037035,0.6666666666666666,0.9629629629629629,0.37037037037037035,0.4444444444444444,0.37037037037037035
113,113,0.3076923076923077,0.6923076923076923,1.0,0.3076923076923077,0.38461538461538464,0.3076923076923077
114,114,0.24,0.72,0.96,0.24,0.32,0.24
115,115,0.16666666666666666,0.75,0.9166666666666666,0.16666666666666666,0.25,0.16666666666666666
116,116,0.08695652173913043,0.6956521739130435,0.9565217391304348,0.08695652173913043,0.17391304347826086,0.08695652173913043
117,117,0.0,0.6363636363636364,0.8181818181818182,0.0,0.09090909090909091,0.0
118,118,0.0,0.6666666666666666,0.7619047619047619,0.0,0.0,0.0
119,119,0.0,0.6,0.7,0.0,0.0,0.0
120,120,0.0,0.5263157894736842,0.631578947368421,0.0,0.0,0.0
121,121,0.0,0.4444444444444444,0.6666666666666666,0.0,0.0,0.0
122,122,0.0,0.47058823529411764,0.5882352941176471,0.0,0.0,0.0
123,123,0.0,0.375,0.625,0.0,0.0,0.0
124,124,0.0,0.4,0.6666666666666666,0.0,0.0,0.0
125,125,0.0,0.42857142857142855,0.7142857142857143,0.0,0.0,0.0
126,126,0.0,0.46153846153846156,0.6153846153846154,0.0,0.0,0.0
127,127,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0
128,128,0.0,0.36363636363636365,0.5454545454545454,0.0,0.0,0.0
129,129,0.0,0.2,0.6,0.0,0.0,0.0
130,130,0.0,0.2222222222222222,0.6666666666666666,0.0,0.0,0.0
131,131,0.0,0.25,0.25,0.0,0.0,0.0
132,132,0.0,0.0,0.0,0.0,0.0,0.0
133,133,0.0,0.0,0.0,0.0,0.0,0.0
