,No,Degree,Collective Influence,Betweenness,Closeness,Capo,Vicario + Contabile
38,38,6.514851485148514,6.435643564356436,7.3861386138613865,7.564356435643564,8.693069306930694,7.346534653465347
39,39,6.36,6.26,7.06,7.28,8.38,7.26
40,40,6.222222222222222,6.121212121212121,6.767676767676767,7.070707070707071,7.959595959595959,6.94949494949495
41,41,6.040816326530612,5.959183673469388,6.469387755102041,6.836734693877551,7.673469387755102,6.714285714285714
42,42,5.917525773195877,5.835051546391752,6.185567010309279,6.783505154639175,7.360824742268041,6.412371134020619
43,43,5.791666666666667,5.770833333333333,6.166666666666667,6.583333333333333,7.083333333333333,6.125
44,44,5.705263157894737,5.684210526315789,6.063157894736842,6.5473684210526315,6.88421052631579,5.91578947368421
45,45,5.574468085106383,5.553191489361702,5.914893617021277,6.361702127659575,6.702127659574468,5.76595744680851
46,46,5.462365591397849,5.419354838709677,5.763440860215054,6.129032258064516,6.451612903225806,5.612903225806452
47,47,5.304347826086956,5.260869565217392,5.630434782608695,5.978260869565218,6.195652173913044,5.5
48,48,5.142857142857143,5.0989010989010985,5.56043956043956,5.824175824175824,6.0,5.384615384615385
49,49,4.977777777777778,4.977777777777778,5.511111111111111,5.688888888888889,5.733333333333333,5.355555555555555
50,50,4.898876404494382,4.898876404494382,5.393258426966292,5.573033707865169,5.48314606741573,5.258426966292135
51,51,4.7727272727272725,4.7727272727272725,5.2727272727272725,5.454545454545454,5.340909090909091,5.113636363636363
52,52,4.712643678160919,4.64367816091954,5.172413793103448,5.241379310344827,5.218390804597701,4.942528735632184
53,53,4.5813953488372094,4.511627906976744,5.046511627906977,5.1395348837209305,5.093023255813954,4.837209302325581
54,54,4.447058823529412,4.376470588235295,4.9411764705882355,5.011764705882353,4.964705882352941,4.705882352941177
55,55,4.333333333333333,4.261904761904762,4.904761904761905,4.857142857142857,4.833333333333333,4.595238095238095
56,56,4.265060240963855,4.144578313253012,4.746987951807229,4.674698795180723,4.650602409638554,4.481927710843373
57,57,4.146341463414634,4.048780487804878,4.609756097560975,4.560975609756097,4.536585365853658,4.365853658536586
58,58,4.0246913580246915,3.950617283950617,4.493827160493828,4.37037037037037,4.395061728395062,4.271604938271605
59,59,3.9,3.85,4.35,4.275,4.275,4.175
60,60,3.7974683544303796,3.7721518987341773,4.227848101265823,4.177215189873418,4.151898734177215,4.075949367088608
61,61,3.6923076923076925,3.641025641025641,4.128205128205129,4.076923076923077,4.051282051282051,3.9743589743589745
62,62,3.5844155844155843,3.5584415584415585,4.103896103896104,3.9740259740259742,3.948051948051948,3.8701298701298703
63,63,3.473684210526316,3.473684210526316,4.078947368421052,3.8157894736842106,3.789473684210526,3.710526315789474
64,64,3.3866666666666667,3.3866666666666667,4.053333333333334,3.68,3.6533333333333333,3.5733333333333333
65,65,3.2972972972972974,3.324324324324324,4.027027027027027,3.5945945945945947,3.5405405405405403,3.4594594594594597
66,66,3.2054794520547945,3.2054794520547945,3.9726027397260273,3.4794520547945207,3.452054794520548,3.3698630136986303
67,67,3.111111111111111,3.111111111111111,3.9444444444444446,3.388888888888889,3.361111111111111,3.2777777777777777
68,68,3.0140845070422535,3.0140845070422535,3.943661971830986,3.295774647887324,3.267605633802817,3.183098591549296
69,69,2.914285714285714,2.914285714285714,3.8,3.2,3.142857142857143,3.085714285714286
70,70,2.8405797101449277,2.8405797101449277,3.681159420289855,3.101449275362319,3.072463768115942,2.9855072463768115
71,71,2.764705882352941,2.764705882352941,3.588235294117647,3.0,2.9705882352941178,2.911764705882353
72,72,2.716417910447761,2.6865671641791047,3.5223880597014925,2.925373134328358,2.8955223880597014,2.8358208955223883
73,73,2.6363636363636362,2.606060606060606,3.484848484848485,2.8484848484848486,2.8181818181818183,2.757575757575758
74,74,2.5538461538461537,2.523076923076923,3.476923076923077,2.769230769230769,2.7384615384615385,2.6769230769230767
75,75,2.46875,2.46875,3.46875,2.6875,2.65625,2.59375
76,76,2.4126984126984126,2.380952380952381,3.3333333333333335,2.6031746031746033,2.5714285714285716,2.507936507936508
77,77,2.3225806451612905,2.3225806451612905,3.3548387096774195,2.5483870967741935,2.5161290322580645,2.4516129032258065
78,78,2.262295081967213,2.262295081967213,3.180327868852459,2.4918032786885247,2.459016393442623,2.3934426229508197
79,79,2.2,2.2,3.033333333333333,2.433333333333333,2.4,2.3333333333333335
80,80,2.169491525423729,2.135593220338983,2.9152542372881354,2.3728813559322033,2.3389830508474576,2.2711864406779663
81,81,2.103448275862069,2.0689655172413794,2.9310344827586206,2.310344827586207,2.2758620689655173,2.206896551724138
82,82,2.0350877192982457,2.0,2.8421052631578947,2.245614035087719,2.210526315789474,2.1403508771929824
83,83,1.9642857142857142,1.9285714285714286,2.7857142857142856,2.1785714285714284,2.142857142857143,2.0714285714285716
84,84,1.8909090909090909,1.8545454545454545,2.7636363636363637,2.109090909090909,2.0727272727272728,2.0
85,85,1.8148148148148149,1.7777777777777777,2.7037037037037037,2.0,2.037037037037037,1.962962962962963
86,86,1.7358490566037736,1.7358490566037736,2.7169811320754715,1.9622641509433962,2.0,1.849056603773585
87,87,1.6538461538461537,1.6538461538461537,2.730769230769231,1.9230769230769231,1.8846153846153846,1.8076923076923077
88,88,1.607843137254902,1.607843137254902,2.588235294117647,1.8823529411764706,1.8431372549019607,1.7647058823529411
89,89,1.56,1.56,2.56,1.84,1.8,1.72
90,90,1.510204081632653,1.510204081632653,2.5714285714285716,1.7959183673469388,1.7551020408163265,1.6734693877551021
91,91,1.4583333333333333,1.4583333333333333,2.5416666666666665,1.75,1.7083333333333333,1.625
92,92,1.4042553191489362,1.4042553191489362,2.5106382978723403,1.702127659574468,1.6595744680851063,1.574468085106383
93,93,1.3478260869565217,1.3478260869565217,2.5217391304347827,1.6521739130434783,1.608695652173913,1.5217391304347827
94,94,1.288888888888889,1.288888888888889,2.488888888888889,1.6,1.5555555555555556,1.4666666666666666
95,95,1.2272727272727273,1.2272727272727273,2.5,1.5454545454545454,1.5,1.4090909090909092
96,96,1.1627906976744187,1.1627906976744187,2.558139534883721,1.4883720930232558,1.441860465116279,1.3488372093023255
97,97,1.0952380952380953,1.0952380952380953,2.619047619047619,1.4285714285714286,1.380952380952381,1.2857142857142858
98,98,1.024390243902439,1.024390243902439,2.4878048780487805,1.3658536585365855,1.3170731707317074,1.170731707317073
99,99,0.95,0.95,2.55,1.3,1.2,1.05
100,100,0.8717948717948718,0.9230769230769231,2.4615384615384617,1.1794871794871795,1.0769230769230769,1.0256410256410255
101,101,0.8421052631578947,0.9473684210526315,2.210526315789474,1.0526315789473684,1.0526315789473684,1.0
102,102,0.8108108108108109,0.918918918918919,2.0,1.027027027027027,1.027027027027027,0.972972972972973
103,103,0.7777777777777778,0.8888888888888888,1.9444444444444444,1.0,0.9444444444444444,0.8888888888888888
104,104,0.7428571428571429,0.8571428571428571,1.7714285714285714,0.9142857142857143,0.9142857142857143,0.8571428571428571
105,105,0.7058823529411765,0.7647058823529411,1.6470588235294117,0.8823529411764706,0.8823529411764706,0.8235294117647058
106,106,0.6666666666666666,0.7272727272727273,1.5151515151515151,0.8484848484848485,0.8484848484848485,0.7878787878787878
107,107,0.625,0.6875,1.4375,0.8125,0.8125,0.75
108,108,0.5806451612903226,0.7096774193548387,1.4193548387096775,0.7741935483870968,0.7741935483870968,0.7096774193548387
109,109,0.5333333333333333,0.6666666666666666,1.4666666666666666,0.7333333333333333,0.7333333333333333,0.6666666666666666
110,110,0.4827586206896552,0.6206896551724138,1.2413793103448276,0.6896551724137931,0.6896551724137931,0.6206896551724138
111,111,0.42857142857142855,0.6428571428571429,1.0714285714285714,0.6428571428571429,0.6428571428571429,0.5714285714285714
112,112,0.37037037037037035,0.6666666666666666,1.1111111111111112,0.5925925925925926,0.5925925925925926,0.5185185185185185
113,113,0.3076923076923077,0.6923076923076923,1.1538461538461537,0.5384615384615384,0.5384615384615384,0.46153846153846156
114,114,0.24,0.72,1.04,0.48,0.48,0.4
115,115,0.16666666666666666,0.75,1.0833333333333333,0.4166666666666667,0.4166666666666667,0.25
116,116,0.08695652173913043,0.6956521739130435,1.0434782608695652,0.2608695652173913,0.2608695652173913,0.17391304347826086
117,117,0.0,0.6363636363636364,1.0,0.18181818181818182,0.18181818181818182,0.09090909090909091
118,118,0.0,0.6666666666666666,1.0476190476190477,0.09523809523809523,0.09523809523809523,0.0
119,119,0.0,0.6,0.9,0.0,0.0,0.0
120,120,0.0,0.5263157894736842,0.8421052631578947,0.0,0.0,0.0
121,121,0.0,0.4444444444444444,0.7777777777777778,0.0,0.0,0.0
122,122,0.0,0.47058823529411764,0.8235294117647058,0.0,0.0,0.0
123,123,0.0,0.375,0.75,0.0,0.0,0.0
124,124,0.0,0.4,0.8,0.0,0.0,0.0
125,125,0.0,0.42857142857142855,0.8571428571428571,0.0,0.0,0.0
126,126,0.0,0.46153846153846156,0.7692307692307693,0.0,0.0,0.0
127,127,0.0,0.3333333333333333,0.8333333333333334,0.0,0.0,0.0
128,128,0.0,0.36363636363636365,0.9090909090909091,0.0,0.0,0.0
129,129,0.0,0.2,0.8,0.0,0.0,0.0
130,130,0.0,0.2222222222222222,0.6666666666666666,0.0,0.0,0.0
131,131,0.0,0.25,0.75,0.0,0.0,0.0
132,132,0.0,0.0,0.8571428571428571,0.0,0.0,0.0
133,133,0.0,0.0,0.3333333333333333,0.0,0.0,0.0
